Record_ID,Base_Ingredient_Name,Dish_Variant_Name,Category,Cooking_Method,Fat_Medium_Used,Moisture_g,Energy_kcal,Protein_g,Total_Fat_g,Carbohydrate_g,Dietary_Fiber_g,Sugars_g,Calcium_mg,Iron_mg,Zinc_mg,Potassium_mg,Sodium_mg,Vitamin_C_mg,Thiamin_B1_mg,Folate_mcg,Glycemic_Index_Est,NOVA_Group
IND-000022,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Sunflower Oil) [Home-Style],Cereals/Millets,Deep-Fried,Sunflower Oil,8.4,505.2,11.18,20.57,68.83,8.8,1.03,40.85,8.03,3.11,296.72,147.03,0.0,0.232,25.6,54,3
IND-000023,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Sunflower Oil) [Low-Oil (Light)],Cereals/Millets,Deep-Fried,Sunflower Oil,7.4,446.9,11.3,13.7,69.59,8.89,1.05,41.3,8.12,3.15,299.99,84.1,0.0,0.235,25.9,56,3
IND-000024,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Sunflower Oil) [Rich/Festive],Cereals/Millets,Deep-Fried,Sunflower Oil,8.4,567.6,11.18,27.5,68.83,8.8,1.03,40.85,8.03,3.11,296.72,210.03,0.0,0.232,25.6,52,3
IND-000025,Bajra (Pearl Millet),Bajra (Pearl Millet) (Deep-Fried in Sunflower Oil) [Restaurant-Style],Cereals/Millets,Deep-Fried,Sunflower Oil,7.1,545.2,11.34,24.5,69.83,8.92,1.05,41.45,8.15,3.16,301.03,182.13,0.0,0.236,26.0,53,3
IND-000026,Bajra (Pearl Millet),Bajra (Pearl Millet) (Fermented),Cereals/Millets,Fermented,No Added Fat,46.4,205.9,6.62,3.03,38.04,5.15,3.03,24.92,4.79,1.86,181.78,9.2,0.0,0.22,30.5,53,1
IND-000027,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Ghee) [Home-Style],Cereals/Millets,Griddled (Tava),Ghee,7.5,415.8,11.36,10.18,69.69,8.88,1.05,42.14,8.19,3.18,306.76,117.17,0.0,0.276,32.9,57,3
IND-000028,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Ghee) [Low-Oil (Light)],Cereals/Millets,Griddled (Tava),Ghee,7.5,395.7,11.36,7.95,69.68,8.88,1.05,42.14,8.19,3.17,306.72,67.67,0.0,0.276,32.9,58,3
IND-000029,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Ghee) [Rich/Festive],Cereals/Millets,Griddled (Tava),Ghee,8.8,430.5,11.2,12.33,68.69,8.76,1.03,41.54,8.08,3.13,302.35,166.57,0.0,0.272,32.5,57,3
IND-000030,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Ghee) [Restaurant-Style],Cereals/Millets,Griddled (Tava),Ghee,8.2,424.2,11.27,11.37,69.17,8.82,1.04,41.83,8.13,3.15,304.47,144.62,0.0,0.274,32.7,57,3
IND-000031,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Groundnut Oil) [Home-Style],Cereals/Millets,Griddled (Tava),Groundnut Oil,8.0,413.9,11.3,10.15,69.34,8.84,1.04,41.93,8.15,3.16,305.2,117.13,0.0,0.275,32.8,57,3
IND-000032,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Groundnut Oil) [Low-Oil (Light)],Cereals/Millets,Griddled (Tava),Groundnut Oil,8.0,393.8,11.3,7.92,69.32,8.84,1.04,41.92,8.15,3.16,305.13,67.63,0.0,0.274,32.7,58,3
IND-000033,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Groundnut Oil) [Rich/Festive],Cereals/Millets,Griddled (Tava),Groundnut Oil,9.1,429.5,11.16,12.31,68.49,8.73,1.03,41.42,8.05,3.12,301.48,166.55,0.0,0.271,32.4,57,3
IND-000034,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Groundnut Oil) [Restaurant-Style],Cereals/Millets,Griddled (Tava),Groundnut Oil,9.3,419.9,11.14,11.31,68.37,8.72,1.03,41.34,8.04,3.11,300.92,144.53,0.0,0.271,32.3,57,3
IND-000035,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Mustard Oil) [Home-Style],Cereals/Millets,Griddled (Tava),Mustard Oil,10.0,405.6,11.05,10.03,67.77,8.64,1.02,40.98,7.97,3.09,298.3,116.97,0.0,0.268,32.0,58,3
IND-000036,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Mustard Oil) [Low-Oil (Light)],Cereals/Millets,Griddled (Tava),Mustard Oil,8.7,390.8,11.21,7.88,68.77,8.77,1.03,41.59,8.09,3.13,302.71,67.58,0.0,0.272,32.5,58,3
IND-000037,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Mustard Oil) [Rich/Festive],Cereals/Millets,Griddled (Tava),Mustard Oil,9.4,428.4,11.13,12.3,68.29,8.71,1.02,41.29,8.03,3.11,300.59,166.53,0.0,0.27,32.3,57,3
IND-000038,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Mustard Oil) [Restaurant-Style],Cereals/Millets,Griddled (Tava),Mustard Oil,7.6,426.6,11.35,11.41,69.62,8.88,1.04,42.1,8.19,3.17,306.46,144.66,0.0,0.276,32.9,57,3
IND-000039,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava)) [Home-Style],Cereals/Millets,Griddled (Tava),No Added Fat,10.4,359.5,11.0,5.06,67.49,8.6,1.01,40.81,7.94,3.08,297.07,116.94,0.0,0.267,31.9,59,3
IND-000040,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava)) [Low-Oil (Light)],Cereals/Millets,Griddled (Tava),No Added Fat,9.4,363.7,11.13,5.12,68.28,8.7,1.02,41.29,8.03,3.11,300.56,67.53,0.0,0.27,32.3,59,3
IND-000041,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava)) [Rich/Festive],Cereals/Millets,Griddled (Tava),No Added Fat,8.1,369.0,11.29,5.19,69.26,8.83,1.04,41.88,8.14,3.16,304.87,166.63,0.0,0.274,32.7,59,3
IND-000042,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava)) [Restaurant-Style],Cereals/Millets,Griddled (Tava),No Added Fat,7.5,371.1,11.35,5.22,69.66,8.88,1.04,42.12,8.19,3.17,306.62,144.67,0.0,0.276,32.9,59,3
IND-000043,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Refined Oil) [Home-Style],Cereals/Millets,Griddled (Tava),Refined Oil,7.7,415.1,11.34,10.17,69.56,8.87,1.04,42.06,8.18,3.17,306.19,117.16,0.0,0.275,32.9,57,3
IND-000044,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Refined Oil) [Low-Oil (Light)],Cereals/Millets,Griddled (Tava),Refined Oil,8.0,393.9,11.3,7.92,69.35,8.84,1.04,41.94,8.15,3.16,305.26,67.64,0.0,0.275,32.8,58,3
IND-000045,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Refined Oil) [Rich/Festive],Cereals/Millets,Griddled (Tava),Refined Oil,9.8,426.8,11.08,12.28,67.99,8.67,1.02,41.11,7.99,3.1,299.26,166.49,0.0,0.269,32.1,57,3
IND-000046,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Refined Oil) [Restaurant-Style],Cereals/Millets,Griddled (Tava),Refined Oil,9.2,420.3,11.16,11.32,68.45,8.73,1.03,41.39,8.05,3.12,301.29,144.54,0.0,0.271,32.3,57,3
IND-000047,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Sunflower Oil) [Home-Style],Cereals/Millets,Griddled (Tava),Sunflower Oil,9.7,407.0,11.09,10.05,68.05,8.67,1.02,41.15,8.0,3.1,299.53,117.0,0.0,0.269,32.1,58,3
IND-000048,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Sunflower Oil) [Low-Oil (Light)],Cereals/Millets,Griddled (Tava),Sunflower Oil,10.3,384.4,11.01,7.79,67.56,8.61,1.01,40.85,7.94,3.08,297.37,67.45,0.0,0.267,31.9,58,3
IND-000049,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Sunflower Oil) [Rich/Festive],Cereals/Millets,Griddled (Tava),Sunflower Oil,7.9,434.2,11.31,12.38,69.38,8.84,1.04,41.96,8.16,3.16,305.4,166.64,0.0,0.275,32.8,57,3
IND-000050,Bajra (Pearl Millet),Bajra (Pearl Millet) (Griddled (Tava) in Sunflower Oil) [Restaurant-Style],Cereals/Millets,Griddled (Tava),Sunflower Oil,8.1,424.7,11.29,11.38,69.27,8.83,1.04,41.89,8.14,3.16,304.9,144.63,0.0,0.274,32.7,57,3
IND-000051,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Ghee) [Home-Style],Cereals/Millets,Pressure-Cooked,Ghee,64.2,167.2,4.31,4.77,26.75,3.43,0.4,15.27,3.07,1.19,110.4,57.69,0.0,0.096,11.3,68,3
IND-000052,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Ghee) [Low-Oil (Light)],Cereals/Millets,Pressure-Cooked,Ghee,67.0,145.0,3.98,3.38,24.68,3.17,0.37,14.09,2.83,1.1,101.88,32.73,0.0,0.089,10.4,69,3
IND-000053,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Ghee) [Rich/Festive],Cereals/Millets,Pressure-Cooked,Ghee,60.9,191.5,4.71,6.19,29.22,3.75,0.44,16.69,3.36,1.3,120.62,82.69,0.0,0.105,12.3,68,3
IND-000054,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Ghee) [Restaurant-Style],Cereals/Millets,Pressure-Cooked,Ghee,71.7,154.3,3.73,5.19,23.17,2.97,0.35,13.23,2.66,1.03,95.63,71.08,0.0,0.083,9.8,69,3
IND-000055,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Mustard Oil) [Home-Style],Cereals/Millets,Pressure-Cooked,Mustard Oil,71.8,148.1,3.73,4.5,23.17,2.97,0.35,13.23,2.66,1.03,95.63,57.33,0.0,0.083,9.8,69,3
IND-000056,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Mustard Oil) [Low-Oil (Light)],Cereals/Millets,Pressure-Cooked,Mustard Oil,68.4,139.5,3.81,3.3,23.65,3.04,0.36,13.51,2.72,1.05,97.62,32.63,0.0,0.085,10.0,69,3
IND-000057,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Mustard Oil) [Rich/Festive],Cereals/Millets,Pressure-Cooked,Mustard Oil,66.4,169.6,4.05,5.88,25.11,3.22,0.38,14.34,2.88,1.12,103.64,82.27,0.0,0.09,10.6,68,3
IND-000058,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Mustard Oil) [Restaurant-Style],Cereals/Millets,Pressure-Cooked,Mustard Oil,63.7,175.5,4.38,5.49,27.14,3.49,0.41,15.5,3.12,1.21,112.04,71.48,0.0,0.097,11.4,68,3
IND-000059,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked) [Home-Style],Cereals/Millets,Pressure-Cooked,No Added Fat,67.4,129.7,3.93,1.84,24.35,3.13,0.37,13.91,2.8,1.08,100.52,57.45,0.0,0.087,10.3,70,1
IND-000060,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked) [Low-Oil (Light)],Cereals/Millets,Pressure-Cooked,No Added Fat,63.3,146.0,4.42,2.07,27.43,3.52,0.41,15.66,3.15,1.22,113.21,33.01,0.0,0.098,11.6,69,1
IND-000061,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked) [Rich/Festive],Cereals/Millets,Pressure-Cooked,No Added Fat,62.3,150.3,4.55,2.13,28.23,3.62,0.43,16.12,3.24,1.26,116.52,82.59,0.0,0.101,11.9,69,1
IND-000062,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked) [Restaurant-Style],Cereals/Millets,Pressure-Cooked,No Added Fat,65.6,137.2,4.15,1.95,25.76,3.31,0.39,14.71,2.96,1.15,106.33,71.34,0.0,0.092,10.9,69,1
IND-000063,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Refined Oil) [Home-Style],Cereals/Millets,Pressure-Cooked,Refined Oil,69.8,148.1,3.73,4.5,23.17,2.97,0.35,13.23,2.66,1.03,95.63,57.33,0.0,0.083,9.8,69,3
IND-000064,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Refined Oil) [Low-Oil (Light)],Cereals/Millets,Pressure-Cooked,Refined Oil,68.2,140.2,3.83,3.31,23.77,3.05,0.36,13.57,2.73,1.06,98.12,32.64,0.0,0.085,10.0,69,3
IND-000065,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Refined Oil) [Rich/Festive],Cereals/Millets,Pressure-Cooked,Refined Oil,62.0,187.4,4.59,6.14,28.46,3.65,0.43,16.25,3.27,1.27,117.47,82.61,0.0,0.102,12.0,68,3
IND-000066,Bajra (Pearl Millet),Bajra (Pearl Millet) (Pressure-Cooked with Refined Oil) [Restaurant-Style],Cereals/Millets,Pressure-Cooked,Refined Oil,70.9,154.3,3.73,5.19,23.17,2.97,0.35,13.23,2.66,1.03,95.63,71.08,0.0,0.083,9.8,69,3
IND-000067,Bajra (Pearl Millet),Bajra (Pearl Millet) (Raw),Cereals/Millets,Raw,No Added Fat,11.5,357.0,11.0,5.0,67.0,8.5,1.0,42.0,8.0,3.1,307.0,7.0,0.0,0.33,45.0,56,1
IND-000068,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted with Ghee) [Home-Style],Cereals/Millets,Roasted,Ghee,9.2,379.5,11.18,6.78,68.46,8.72,1.03,41.78,8.08,3.13,304.42,17.07,0.0,0.277,33.2,56,3
IND-000069,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted with Ghee) [Low-Oil (Light)],Cereals/Millets,Roasted,Ghee,7.7,379.1,11.37,6.12,69.63,8.86,1.04,42.49,8.22,3.18,309.62,12.69,0.0,0.282,33.8,56,3
IND-000070,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted with Ghee) [Rich/Festive],Cereals/Millets,Roasted,Ghee,7.9,391.6,11.34,7.6,69.47,8.85,1.04,42.4,8.2,3.18,308.95,21.68,0.0,0.282,33.7,55,3
IND-000071,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted with Ghee) [Restaurant-Style],Cereals/Millets,Roasted,Ghee,10.4,378.8,11.04,7.13,67.62,8.61,1.01,41.26,7.98,3.09,300.69,19.48,0.0,0.274,32.8,56,3
IND-000072,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted) [Home-Style],Cereals/Millets,Roasted,No Added Fat,8.0,369.6,11.33,5.2,69.38,8.83,1.04,42.34,8.19,3.17,308.51,17.17,0.0,0.281,33.7,56,3
IND-000073,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted) [Low-Oil (Light)],Cereals/Millets,Roasted,No Added Fat,7.6,371.1,11.38,5.22,69.66,8.87,1.04,42.51,8.22,3.19,309.78,12.69,0.0,0.282,33.8,56,3
IND-000074,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted) [Rich/Festive],Cereals/Millets,Roasted,No Added Fat,8.3,368.4,11.29,5.18,69.16,8.81,1.04,42.2,8.16,3.16,307.54,21.64,0.0,0.28,33.6,56,3
IND-000075,Bajra (Pearl Millet),Bajra (Pearl Millet) (Roasted) [Restaurant-Style],Cereals/Millets,Roasted,No Added Fat,8.7,367.1,11.25,5.16,68.9,8.77,1.03,42.05,8.13,3.15,306.4,19.62,0.0,0.279,33.4,56,3
IND-000076,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Coconut Oil) [Home-Style],Cereals/Millets,Shallow-Fried (Tadka),Coconut Oil,8.7,435.4,11.18,12.86,68.74,8.77,1.03,41.18,8.05,3.12,299.42,197.04,0.0,0.259,30.7,57,3
IND-000077,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Coconut Oil) [Low-Oil (Light)],Cereals/Millets,Shallow-Fried (Tadka),Coconut Oil,6.6,412.6,11.44,9.51,70.3,8.97,1.06,42.12,8.23,3.19,306.24,111.7,0.0,0.265,31.4,57,3
IND-000078,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Coconut Oil) [Rich/Festive],Cereals/Millets,Shallow-Fried (Tadka),Coconut Oil,8.5,467.1,11.2,16.33,68.83,8.79,1.03,41.24,8.06,3.12,299.85,282.55,0.0,0.259,30.7,56,3
IND-000079,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Coconut Oil) [Restaurant-Style],Cereals/Millets,Shallow-Fried (Tadka),Coconut Oil,9.2,450.7,11.12,14.76,68.34,8.72,1.03,40.95,8.0,3.1,297.72,244.5,0.0,0.257,30.5,56,3
IND-000080,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Ghee) [Home-Style],Cereals/Millets,Shallow-Fried (Tadka),Ghee,9.9,430.4,11.03,12.79,67.79,8.65,1.02,40.62,7.94,3.08,295.33,196.95,0.0,0.255,30.2,57,3
IND-000081,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Ghee) [Low-Oil (Light)],Cereals/Millets,Shallow-Fried (Tadka),Ghee,6.8,411.7,11.41,9.5,70.14,8.95,1.05,42.02,8.22,3.18,305.56,111.69,0.0,0.264,31.3,57,3
IND-000082,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Ghee) [Rich/Festive],Cereals/Millets,Shallow-Fried (Tadka),Ghee,8.5,467.1,11.2,16.33,68.83,8.79,1.03,41.24,8.06,3.12,299.85,282.55,0.0,0.259,30.7,56,3
IND-000083,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Ghee) [Restaurant-Style],Cereals/Millets,Shallow-Fried (Tadka),Ghee,9.5,449.5,11.08,14.74,68.13,8.69,1.02,40.82,7.98,3.09,296.77,244.48,0.0,0.257,30.4,56,3
IND-000084,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Groundnut Oil) [Home-Style],Cereals/Millets,Shallow-Fried (Tadka),Groundnut Oil,6.9,442.6,11.4,12.96,70.07,8.94,1.05,41.98,8.21,3.18,305.26,197.18,0.0,0.264,31.3,56,3
IND-000085,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Groundnut Oil) [Low-Oil (Light)],Cereals/Millets,Shallow-Fried (Tadka),Groundnut Oil,9.1,402.4,11.13,9.37,68.4,8.73,1.03,40.98,8.01,3.1,297.95,111.51,0.0,0.258,30.5,58,3
IND-000086,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Groundnut Oil) [Rich/Festive],Cereals/Millets,Shallow-Fried (Tadka),Groundnut Oil,8.4,467.5,11.21,16.34,68.9,8.79,1.03,41.28,8.07,3.13,300.15,282.56,0.0,0.259,30.7,56,3
IND-000087,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Groundnut Oil) [Restaurant-Style],Cereals/Millets,Shallow-Fried (Tadka),Groundnut Oil,7.4,457.9,11.34,14.86,69.71,8.9,1.05,41.76,8.16,3.16,303.65,244.64,0.0,0.263,31.1,56,3
IND-000088,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Mustard Oil) [Home-Style],Cereals/Millets,Shallow-Fried (Tadka),Mustard Oil,9.1,433.7,11.13,12.84,68.4,8.73,1.03,40.98,8.01,3.1,297.98,197.01,0.0,0.258,30.5,57,3
IND-000089,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Mustard Oil) [Low-Oil (Light)],Cereals/Millets,Shallow-Fried (Tadka),Mustard Oil,8.1,406.3,11.25,9.42,69.13,8.82,1.04,41.41,8.1,3.14,301.13,111.58,0.0,0.26,30.8,58,3
IND-000090,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Mustard Oil) [Rich/Festive],Cereals/Millets,Shallow-Fried (Tadka),Mustard Oil,8.9,465.5,11.15,16.31,68.53,8.75,1.03,41.06,8.03,3.11,298.54,282.52,0.0,0.258,30.6,56,3
IND-000091,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Mustard Oil) [Restaurant-Style],Cereals/Millets,Shallow-Fried (Tadka),Mustard Oil,8.8,452.4,11.17,14.78,68.67,8.76,1.03,41.14,8.04,3.12,299.13,244.54,0.0,0.259,30.6,56,3
IND-000092,Bajra (Pearl Millet),Bajra (Pearl Millet) (Shallow-Fried (Tadka) in Refined Oil) [Home-Style],Cereals/Millets,Shallow-Fried (Tadka),Refined Oil,8.0,438.2,11.27,12.9,69.25,8.84,1.04,41.49,8.11,3.14,301.69,197.1,0.0,0.261,30.9,57,3
